,Date
0,29MAY24
1,24APR24
2,16APR24
3,10APR24
4,03APR24
5,27MAR24
6,20MAR24
7,13MAR24
8,06MAR24
9,29FEB24
10,21FEB24
11,14FEB24
12,07FEB24
13,31JAN24
14,25JAN24
15,17JAN24
16,10JAN24
17,03JAN24
18,28DEC23
19,20DEC23
20,13DEC23
21,06DEC23
22,30NOV23
23,22NOV23
24,15NOV23
25,08NOV23
26,01NOV23
27,26OCT23
28,18OCT23
29,11OCT23
30,04OCT23
31,28SEP23
32,20SEP23
33,13SEP23
34,06SEP23
35,31AUG23
36,24AUG23
37,17AUG23
38,10AUG23
39,03AUG23
40,27JUL23
41,20JUL23
42,13JUL23
43,06JUL23
44,28JUN23
45,22JUN23
46,15JUN23
47,08JUN23
48,01JUN23
49,25MAY23
50,18MAY23
51,11MAY23
52,04MAY23
53,27APR23
54,20APR23
55,13APR23
56,06APR23
57,29MAR23
58,23MAR23
59,16MAR23
60,09MAR23
61,02MAR23
62,23FEB23
63,16FEB23
64,09FEB23
65,02FEB23
66,25JAN23
67,19JAN23
68,12JAN23
69,05JAN23
70,29DEC22
71,22DEC22
72,15DEC22
73,08DEC22
74,01DEC22
75,24NOV22
76,17NOV22
77,10NOV22
78,03NOV22
79,27OCT22
80,20OCT22
81,13OCT22
82,06OCT22
83,29SEP22
84,22SEP22
85,15SEP22
86,08SEP22
87,01SEP22
88,25AUG22
89,18AUG22
90,11AUG22
91,04AUG22
92,28JUL22
93,21JUL22
94,14JUL22
95,07JUL22
96,30JUN22
97,23JUN22
98,16JUN22
99,09JUN22
100,02JUN22
101,26MAY22
102,19MAY22
103,12MAY22
104,05MAY22
105,28APR22
106,21APR22
107,13APR22
108,07APR22
109,31MAR22
110,24MAR22
111,17MAR22
112,10MAR22
113,03MAR22
114,24FEB22
115,17FEB22
116,10FEB22
117,03FEB22
118,27JAN22
119,20JAN22
120,13JAN22
121,06JAN22
122,30DEC21
123,23DEC21
124,16DEC21
125,09DEC21
126,02DEC21
127,25NOV21
128,18NOV21
129,11NOV21
130,03NOV21
131,28OCT21
132,21OCT21
133,14OCT21
134,07OCT21
135,30SEP21
136,23SEP21
137,16SEP21
138,09SEP21
139,02SEP21
140,26AUG21
141,18AUG21
142,12AUG21
143,05AUG21
144,29JUL21
145,22JUL21
146,15JUL21
147,08JUL21
148,01JUL21
149,24JUN21
150,17JUN21
151,10JUN21
152,03JUN21
153,27MAY21
154,20MAY21
155,12MAY21
156,06MAY21
157,29APR21
158,22APR21
159,15APR21
160,08APR21
161,01APR21
162,25MAR21
163,18MAR21
164,10MAR21
165,04MAR21
166,25FEB21
167,18FEB21
168,11FEB21
169,04FEB21
170,28JAN21
171,21JAN21
172,14JAN21
173,07JAN21
174,31DEC20
175,24DEC20
176,17DEC20
177,10DEC20
178,03DEC20
179,26NOV20
180,19NOV20
181,12NOV20
182,05NOV20
183,29OCT20
184,22OCT20
185,15OCT20
186,08OCT20
187,01OCT20
188,24SEP20
189,17SEP20
190,10SEP20
191,03SEP20
192,27AUG20
193,20AUG20
194,13AUG20
195,06AUG20
196,30JUL20
197,23JUL20
198,16JUL20
199,09JUL20
200,02JUL20
201,25JUN20
202,18JUN20
203,11JUN20
204,04JUN20
205,28MAY20
206,21MAY20
207,14MAY20
208,07MAY20
209,30APR20
210,23APR20
211,16APR20
212,09APR20
213,01APR20
214,26MAR20
215,19MAR20
216,12MAR20
217,05MAR20
218,27FEB20
219,20FEB20
220,13FEB20
221,06FEB20
222,30JAN20
223,23JAN20
224,16JAN20
225,09JAN20
226,02JAN20
227,26DEC19
228,19DEC19
229,12DEC19
230,05DEC19
231,28NOV19
232,21NOV19
233,14NOV19
234,07NOV19
235,31OCT19
236,24OCT19
237,17OCT19
238,10OCT19
239,03OCT19
240,26SEP19
241,19SEP19
242,12SEP19
243,05SEP19
244,29AUG19
245,22AUG19
246,14AUG19
247,08AUG19
248,01AUG19
249,25JUL19
250,18JUL19
251,11JUL19
252,04JUL19
253,27JUN19
254,20JUN19
255,13JUN19
256,06JUN19
257,30MAY19
258,23MAY19
259,16MAY19
260,09MAY19
261,02MAY19
262,25APR19
263,18APR19
264,11APR19
265,04APR19
266,28MAR19
267,20MAR19
268,14MAR19
269,07MAR19
270,28FEB19
271,21FEB19
272,14FEB19
273,07FEB19
274,31JAN19
275,24JAN19
276,17JAN19
277,10JAN19
278,03JAN19
279,27DEC18
280,20DEC18
281,13DEC18
282,06DEC18
283,29NOV18
284,22NOV18
285,15NOV18
286,06NOV18
287,01NOV18
288,25OCT18
289,17OCT18
290,11OCT18
291,04OCT18
292,27SEP18
293,19SEP18
294,12SEP18
295,06SEP18
296,30AUG18
297,23AUG18
298,16AUG18
299,09AUG18
300,02AUG18
