,Data
0,ACC
1,ALKEM
2,GAIL
3,GLENMARK
4,AARTIIND
5,ABBOTINDIA
6,
7,IGL
8,
9,ADANIENT
10,ADANIPORTS
11,INDUSTOWER
12,AMBUJACEM
13,APOLLOHOSP
14,APOLLOTYRE
15,ASHOKLEY
16,ASIANPAINT
17,
18,ATUL
19,AUBANK
20,AUROPHARMA
21,AXISBANK
22,BAJAJ-AUTO
23,BAJFINANCE
24,BALKRISIND
25,BALRAMCHIN
26,BANDHANBNK
27,BANKBARODA
28,BATAINDIA
29,BEL
30,METROPOLIS
31,BHARATFORG
32,BHEL
33,BIOCON
34,BOSCHLTD
35,BPCL
36,BRITANNIA
37,MUTHOOTFIN
38,
39,CANFINHOME
40,
41,CIPLA
42,COLPAL
43,CONCOR
44,COROMANDEL
45,PERSISTENT
46,CROMPTON
47,CUB
48,CUMMINSIND
49,DABUR
50,DALBHARAT
51,DEEPAKNTR
52,
53,DIVISLAB
54,SHRIRAMFIN
55,DIXON
56,DLF
57,DRREDDY
58,EXIDEIND
59,FEDERALBNK
60,TRENT
61,GMRINFRA
62,GNFC
63,GODREJPROP
64,GRANULES
65,GRASIM
66,GUJGASLTD
67,HAL
68,HCLTECH
69,HDFCAMC
70,HDFCBANK
71,HEROMOTOCO
72,HINDALCO
73,HINDCOPPER
74,HINDPETRO
75,ICICIBANK
76,ICICIGI
77,IDFC
78,IDFCFIRSTB
79,IEX
80,INDHOTEL
81,INDIACEM
82,INDIAMART
83,INDIGO
84,IOC
85,IPCALAB
86,IRCTC
87,ITC
88,JINDALSTEL
89,JKCEMENT
90,JSWSTEEL
91,JUBLFOOD
92,KOTAKBANK
93,L&TFH
94,LALPATHLAB
95,LAURUSLABS
96,LICHSGFIN
97,LTIM
98,LUPIN
99,M&MFIN
100,MANAPPURAM
101,MCDOWELL-N
102,MCX
103,MGL
104,
105,NATIONALUM
106,NAUKRI
107,NAVINFLUOR
108,NMDC
109,NTPC
110,OBEROIRLTY
111,
112,
113,PEL
114,PFC
115,PIDILITIND
116,PIIND
117,POLYCAB
118,PVRINOX
119,RBLBANK
120,RECLTD
121,SAIL
122,SBICARD
123,SBILIFE
124,SBIN
125,SHREECEM
126,SUNPHARMA
127,TATASTEEL
128,TORNTPHARM
129,SUNTV
130,
131,TATACHEM
132,UPL
133,TATACOMM
134,TATAMOTORS
135,TATAPOWER
136,TCS
137,TECHM
138,TITAN
139,UBL
140,ULTRACEMCO
141,VEDL
142,
143,
144,BAJAJFINSV
145,BERGEPAINT
146,CANBK
147,CHOLAFIN
148,EICHERMOT
149,ESCORTS
150,HAVELLS
151,
152,ICICIPRULI
153,INDUSINDBK
154,INFY
155,M&M
156,LT
157,LTTS
158,MARUTI
159,MFSL
160,NESTLEIND
161,PNB
162,RAMCOCEM
163,RELIANCE
164,SIEMENS
165,SRF
166,HDFCLIFE
167,TATACONSUM
168,TVSMOTOR
169,VOLTAS
170,
171,BHARTIARTL
172,HINDUNILVR
173,
174,
175,MPHASIS
176,COFORGE
177,GODREJCP
178,POWERGRID
179,WIPRO
180,PAGEIND
181,COALINDIA
182,
183,ONGC
